date,type,state,district,property_type,properties
2024-07-01,unsold_under_construction,Johor,Mersing,detached,0
2024-07-01,unsold_under_construction,Johor,Mersing,flat,0
2024-07-01,unsold_under_construction,Johor,Mersing,flat-lowcost,0
2024-07-01,unsold_under_construction,Johor,Mersing,house-lowcost,41
2024-07-01,unsold_under_construction,Johor,Mersing,semidetached-1-storey,0
2024-07-01,unsold_under_construction,Johor,Mersing,semidetached-2-3-storey,0
2024-07-01,unsold_under_construction,Johor,Mersing,terrace-1-storey,163
2024-07-01,unsold_under_construction,Johor,Mersing,terrace-2-3-storey,10
2024-07-01,unsold_under_construction,Johor,Mersing,townhouse,0
2024-07-01,overhang,Johor,Muar,all,59
2024-07-01,overhang,Johor,Muar,cluster,0
2024-07-01,overhang,Johor,Muar,condominium,0
2024-07-01,overhang,Johor,Muar,detached,0
2024-07-01,overhang,Johor,Muar,flat,0
2024-07-01,overhang,Johor,Muar,flat-lowcost,0
2024-07-01,overhang,Johor,Muar,house-lowcost,0
2024-07-01,overhang,Johor,Muar,semidetached-1-storey,23
2024-07-01,overhang,Johor,Muar,semidetached-2-3-storey,9
2024-07-01,overhang,Johor,Muar,terrace-1-storey,20
2024-07-01,overhang,Johor,Muar,terrace-2-3-storey,7
2024-07-01,overhang,Johor,Muar,townhouse,0
2024-07-01,unsold_not_constructed,Johor,Muar,all,0
2024-07-01,unsold_not_constructed,Johor,Muar,cluster,0
2024-07-01,unsold_not_constructed,Johor,Muar,condominium,0
2024-07-01,unsold_not_constructed,Johor,Muar,detached,0
2024-07-01,unsold_not_constructed,Johor,Muar,flat,0
2024-07-01,unsold_not_constructed,Johor,Muar,flat-lowcost,0
2024-07-01,unsold_not_constructed,Johor,Muar,house-lowcost,0
2024-07-01,unsold_not_constructed,Johor,Muar,semidetached-1-storey,0
2024-07-01,unsold_not_constructed,Johor,Muar,semidetached-2-3-storey,0
2024-07-01,unsold_not_constructed,Johor,Muar,terrace-1-storey,0
2024-07-01,unsold_not_constructed,Johor,Muar,terrace-2-3-storey,0
2024-07-01,unsold_not_constructed,Johor,Muar,townhouse,0
2024-07-01,unsold_under_construction,Johor,Muar,all,98
2024-07-01,unsold_under_construction,Johor,Muar,cluster,0
2024-07-01,unsold_under_construction,Johor,Muar,condominium,0
2024-07-01,unsold_under_construction,Johor,Muar,detached,0
2024-07-01,unsold_under_construction,Johor,Muar,flat,0
2024-07-01,unsold_under_construction,Johor,Muar,flat-lowcost,0
2024-07-01,unsold_under_construction,Johor,Muar,house-lowcost,0
2024-07-01,unsold_under_construction,Johor,Muar,semidetached-1-storey,60
2024-07-01,unsold_under_construction,Johor,Muar,semidetached-2-3-storey,0
2024-07-01,unsold_under_construction,Johor,Muar,terrace-1-storey,30
2024-07-01,unsold_under_construction,Johor,Muar,terrace-2-3-storey,8
2024-07-01,unsold_under_construction,Johor,Muar,townhouse,0
2024-07-01,overhang,Johor,Pontian,all,35
2024-07-01,overhang,Johor,Pontian,cluster,8
2024-07-01,overhang,Johor,Pontian,condominium,0
2024-07-01,overhang,Johor,Pontian,detached,0
2024-07-01,overhang,Johor,Pontian,flat,0
2024-07-01,overhang,Johor,Pontian,flat-lowcost,0
2024-07-01,overhang,Johor,Pontian,house-lowcost,0
2024-07-01,overhang,Johor,Pontian,semidetached-1-storey,10
2024-07-01,overhang,Johor,Pontian,semidetached-2-3-storey,0
2024-07-01,overhang,Johor,Pontian,terrace-1-storey,0
2024-07-01,overhang,Johor,Pontian,terrace-2-3-storey,17
2024-07-01,overhang,Johor,Pontian,townhouse,0
2024-07-01,unsold_not_constructed,Johor,Pontian,all,0
2024-07-01,unsold_not_constructed,Johor,Pontian,cluster,0
2024-07-01,unsold_not_constructed,Johor,Pontian,condominium,0
2024-07-01,unsold_not_constructed,Johor,Pontian,detached,0
2024-07-01,unsold_not_constructed,Johor,Pontian,flat,0
2024-07-01,unsold_not_constructed,Johor,Pontian,flat-lowcost,0
2024-07-01,unsold_not_constructed,Johor,Pontian,house-lowcost,0
2024-07-01,unsold_not_constructed,Johor,Pontian,semidetached-1-storey,0
2024-07-01,unsold_not_constructed,Johor,Pontian,semidetached-2-3-storey,0
2024-07-01,unsold_not_constructed,Johor,Pontian,terrace-1-storey,0
2024-07-01,unsold_not_constructed,Johor,Pontian,terrace-2-3-storey,0
2024-07-01,unsold_not_constructed,Johor,Pontian,townhouse,0
2024-07-01,unsold_under_construction,Johor,Pontian,all,56
2024-07-01,unsold_under_construction,Johor,Pontian,cluster,0
2024-07-01,unsold_under_construction,Johor,Pontian,condominium,0
2024-07-01,unsold_under_construction,Johor,Pontian,detached,12
2024-07-01,unsold_under_construction,Johor,Pontian,flat,0
2024-07-01,unsold_under_construction,Johor,Pontian,flat-lowcost,0
2024-07-01,unsold_under_construction,Johor,Pontian,house-lowcost,0
2024-07-01,unsold_under_construction,Johor,Pontian,semidetached-1-storey,19
2024-07-01,unsold_under_construction,Johor,Pontian,semidetached-2-3-storey,0
2024-07-01,unsold_under_construction,Johor,Pontian,terrace-1-storey,0
2024-07-01,unsold_under_construction,Johor,Pontian,terrace-2-3-storey,25
2024-07-01,unsold_under_construction,Johor,Pontian,townhouse,0
2024-07-01,overhang,Johor,Segamat,all,35
2024-07-01,overhang,Johor,Segamat,cluster,0
2024-07-01,overhang,Johor,Segamat,condominium,0
2024-07-01,overhang,Johor,Segamat,detached,0
2024-07-01,overhang,Johor,Segamat,flat,0
2024-07-01,overhang,Johor,Segamat,flat-lowcost,0
2024-07-01,overhang,Johor,Segamat,house-lowcost,6
2024-07-01,overhang,Johor,Segamat,semidetached-1-storey,10
2024-07-01,overhang,Johor,Segamat,semidetached-2-3-storey,0
2024-07-01,overhang,Johor,Segamat,terrace-1-storey,0
2024-07-01,overhang,Johor,Segamat,terrace-2-3-storey,19
2024-07-01,overhang,Johor,Segamat,townhouse,0
2024-07-01,unsold_not_constructed,Johor,Segamat,all,0
2024-07-01,unsold_not_constructed,Johor,Segamat,cluster,0
2024-07-01,unsold_not_constructed,Johor,Segamat,condominium,0
2024-07-01,unsold_not_constructed,Johor,Segamat,detached,0
2024-07-01,unsold_not_constructed,Johor,Segamat,flat,0
2024-07-01,unsold_not_constructed,Johor,Segamat,flat-lowcost,0
2024-07-01,unsold_not_constructed,Johor,Segamat,house-lowcost,0
2024-07-01,unsold_not_constructed,Johor,Segamat,semidetached-1-storey,0
2024-07-01,unsold_not_constructed,Johor,Segamat,semidetached-2-3-storey,0
2024-07-01,unsold_not_constructed,Johor,Segamat,terrace-1-storey,0
2024-07-01,unsold_not_constructed,Johor,Segamat,terrace-2-3-storey,0
2024-07-01,unsold_not_constructed,Johor,Segamat,townhouse,0
2024-07-01,unsold_under_construction,Johor,Segamat,all,251
2024-07-01,unsold_under_construction,Johor,Segamat,cluster,0
2024-07-01,unsold_under_construction,Johor,Segamat,condominium,0
2024-07-01,unsold_under_construction,Johor,Segamat,detached,16
2024-07-01,unsold_under_construction,Johor,Segamat,flat,0
2024-07-01,unsold_under_construction,Johor,Segamat,flat-lowcost,0
2024-07-01,unsold_under_construction,Johor,Segamat,house-lowcost,0
2024-07-01,unsold_under_construction,Johor,Segamat,semidetached-1-storey,2
2024-07-01,unsold_under_construction,Johor,Segamat,semidetached-2-3-storey,20
2024-07-01,unsold_under_construction,Johor,Segamat,terrace-1-storey,24
2024-07-01,unsold_under_construction,Johor,Segamat,terrace-2-3-storey,189
2024-07-01,unsold_under_construction,Johor,Segamat,townhouse,0
2024-07-01,overhang,Johor,Tangkak,all,28
2024-07-01,overhang,Johor,Tangkak,cluster,16
2024-07-01,overhang,Johor,Tangkak,condominium,0
2024-07-01,overhang,Johor,Tangkak,detached,0
2024-07-01,overhang,Johor,Tangkak,flat,0
2024-07-01,overhang,Johor,Tangkak,flat-lowcost,0
2024-07-01,overhang,Johor,Tangkak,house-lowcost,0
2024-07-01,overhang,Johor,Tangkak,semidetached-1-storey,0
2024-07-01,overhang,Johor,Tangkak,semidetached-2-3-storey,6
2024-07-01,overhang,Johor,Tangkak,terrace-1-storey,0
2024-07-01,overhang,Johor,Tangkak,terrace-2-3-storey,6
2024-07-01,overhang,Johor,Tangkak,townhouse,0
2024-07-01,unsold_not_constructed,Johor,Tangkak,all,0
2024-07-01,unsold_not_constructed,Johor,Tangkak,cluster,0
2024-07-01,unsold_not_constructed,Johor,Tangkak,condominium,0
